"Neighborhood","Time_Col","gi_star","p_folded_sim"
"West End",2011-09-01,4.0897107719084,0.01
"Downtown",2011-10-01,4.42839579377169,0.015
"Hastings-Sunrise",2011-10-01,0.438453407403479,0.205
"Kerrisdale",2011-10-01,-1.64025644605207,0.015
"Marpole",2011-10-01,-1.32634902941353,0.16
"Oakridge",2011-10-01,-2.04672128574587,0.055
"Riley Park",2011-10-01,-0.319740369241872,0.475
"South Cambie",2011-10-01,-1.37923914541449,0.4
"Shaughnessy",2011-10-01,-1.58338494229358,0.21
"Victoria-Fraserview",2011-10-01,-0.947152421289769,0.415
"Arbutus Ridge",2011-10-01,-0.992648825805871,0.36
"Grandview-Woodland",2011-10-01,1.14568218645094,0.195
"Kensington-Cedar Cottage",2011-10-01,0.310023831708769,0.495
"Killarney",2011-10-01,-1.34202337306608,0.245
"Kitsilano",2011-10-01,1.42273776545505,0.145
"Strathcona",2011-10-01,2.85599099208431,0.01
"Sunset",2011-10-01,-0.878955985859128,0.215
"West Point Grey",2011-10-01,-0.737874060991849,0.27
"Dunbar-Southlands",2011-10-01,-0.674173994193155,0.225
"Fairview",2011-10-01,1.71121915568557,0.155
"Mount Pleasant",2011-10-01,2.26757612255871,0.085
"Renfrew-Collingwood",2011-10-01,-0.605929387419001,0.33
"West End",2011-10-01,2.92851711962474,0.015
"Downtown",2011-11-01,4.60600244515127,0.005
"Hastings-Sunrise",2011-11-01,-0.0601021088045011,0.355
